Time [ms], Thrust [N]
0,  351.1973288828028
1,  351.1773271752538
2,  351.1627938655573
3,  351.1532793092394
4,  351.15122883670733
5,  351.15830772195716
6,  351.1740878189022
7,  351.19868683891013
8,  351.2317417490659
9,  351.271019683183
10,  351.3172559745453
11,  351.36766344996477
12,  351.42230787533515
13,  351.4783318658239
14,  351.5358795969665
15,  351.59478685295113
16,  351.6531218231166
17,  351.7132692328064
18,  351.77440806048725
19,  351.8366024255706
20,  351.9001634566741
21,  351.964910189018
22,  352.030189172406
23,  352.0960468167566
24,  352.1593646394391
25,  352.2200919981436
26,  352.2756799898264
27,  352.32581968825684
28,  352.3675554968008
29,  352.4008815109574
30,  352.4245180276667
31,  352.438397927459
32,  352.4435658988591
33,  352.4407540569386
34,  352.43051139315367
35,  352.4134886816469
36,  352.39238880569116
37,  352.3693640695198
38,  352.3434639549621
40,  352.3159207103447
41,  352.28697143551994
53,  352.25854393721437
54,  352.22758996790685
55,  352.19701470880807
56,  352.16457089596975
57,  352.12952538178314
58,  352.093434351545
59,  352.053105993088
60,  352.01088675363064
61,  351.9658507323465
62,  351.91729475326366
63,  351.8685250148753
64,  351.8169802422686
65,  351.76471160671235
66,  351.7157862645132
67,  351.66759590743686
68,  351.6229590837137
69,  351.583669905175
70,  351.5498385117805
71,  351.52347077507636
72,  351.5052635003384
73,  351.4936386015333
74,  351.49206784156337
75,  351.4982309427749
76,  351.51270932611436
77,  351.53510159499774
78,  351.56423631550575
79,  351.6018128051199
80,  351.64460262962496
81,  351.6925127844792
82,  351.74520213321625
83,  351.80078924090304
84,  351.85873458231504
85,  351.9199252504867
86,  351.9801164639018
87,  352.04135071094726
88,  352.1008845570532
89,  352.15733203786067
90,  352.2108582216499
91,  352.25919332848065
92,  352.3008004860061
93,  352.33753755584587
94,  352.3654027172562
95,  352.3855245627415
96,  352.39865509255293
97,  352.40294683960644
98,  352.40090848097867
99,  352.3923993842182
100,  352.37699192297265
101,  352.3586140817304
102,  352.3355238440243
103,  352.3107496038724
104,  352.2832084077987
105,  352.2547615636377
106,  352.22437135872707
107,  352.1931324964999
108,  352.1613536019652
109,  352.12794337868206
110,  352.0930376415325
111,  352.05531066458394
112,  352.01527136072673
113,  351.97164703597906
114,  351.9240989570497
115,  351.8747658256969
116,  351.8229615994098
117,  351.76836586789193
118,  351.7134772730729
119,  351.6586711892306
120,  351.60516842729686
121,  351.5540753679943
122,  351.50521740907095
123,  351.4587093167227
124,  351.41662959772583
125,  351.3776347544033
126,  351.3413009788215
127,  351.3080908370488
128,  351.2776223821692
129,  351.2489293853451
130,  351.2217024068247
131,  351.19781030718997
132,  351.176329807061
133,  351.15894875054164
134,  351.14599304363884
135,  351.1391040171585
136,  351.1384097352072
137,  351.14581791583316
138,  351.16245275467816
139,  351.1889316017183
140,  351.2260247456581
141,  351.2719250638573
142,  351.3272338592381
143,  351.3907417023881
144,  351.45990261199023
145,  351.53311722934023
146,  351.60824121692957
147,  351.68203943469393
148,  351.75377066878065
149,  351.82144978480864
150,  351.88242022510985
151,  351.937507876651
152,  351.98542112734845
153,  352.0285139133105
154,  352.06582977240186
155,  352.1001582276963
156,  352.1316626716132
157,  352.16320873022875
158,  352.1936530450576
159,  352.2246342983007
160,  352.2557539853478
161,  352.28433048562835
162,  352.3091152372954
163,  352.32847023107865
164,  352.34128131975876
165,  352.34461393681335
166,  352.3371368738485
167,  352.3193611193342
168,  352.2921167615974
169,  352.25469216696854
170,  352.20935881211267
171,  352.1568873677331
172,  352.09923617946157
173,  352.03810148908684
174,  351.97446366059523
175,  351.90880266276844
176,  351.842392557359
177,  351.77367566477454
178,  351.7033888918685
179,  351.6316826227427
180,  351.5576284142083
181,  351.48335338349415
182,  351.4073898604677
183,  351.33174985199787
184,  351.25789625974807
185,  351.1852313536236
186,  351.11372823565034
187,  351.043363455533
188,  350.9728917608042
189,  350.89787471140426
190,  350.81536944249495
191,  350.7212031515976
192,  350.61281809701956
193,  350.4870789281009
194,  350.34267261238836
